"11855","1967","Hombre","0000056+0545298+0095524+0162283+0593192+0750640+0493879+0089984+0000842+0911847+0798826+0133597+0043088+0911680+0179652+0379673+0410745+0000056+0545298+0095524+0162283+0593192+0750640+0493879+0089984+0000842+0911847+0798826+0133597+0043088+0911680+0179652+0379673+0410745","Western"
"11856","1962","Half Ticket","3140757+6219447+4778794+2772765+8075509+3583019+8337506+3140757+6219447+4778794+2772765+8075509+3583019+8337506","Drama+Family"
"11857","2000","The Man Show: Season 2","1488260+3273000+1488260+3273000","Reality-TV"
"11858","1974","Good Times: Season 2","0000836+0085407+1089685+4026115+3659314+1827376+0593258+0001634+0001836+0000836+0085407+1089685+4026115+3659314+1827376+0593258+0001634+0001836","Short+Drama"
"11859","1996","Star Trek: First Contact","0001772+0000408+0000653+0000996+0000373+0000533+0000642+0005569+0000342+0000481+0395649+0568180+0574160+0000585+0776239+0004395+0790436+0825749+0835233+0946686+0079782+0184748+0369761+0374942+0000854+0061615+0371042+1592409+0740001+0823155+0292979+0471382+0278877+0395496+0416554+0658110+0917823+0199965+0951563+0025739+1648001+0055961+0098079+0103804+1595676+0131471+1006740+0178494+0220301+1689876+1329724+1452877+0455374+0998988+1470610+0601822+0651188+0680392+2025663+3817574+0880201+0953651+0001772+0000408+0000653+0000996+0000373+0000533+0000642+0005569+0000342+0000481+0395649+0568180+0574160+0000585+0776239+0004395+0790436+0825749+0835233+0946686+0079782+0184748+0369761+0374942+0000854+0061615+0371042+1592409+0740001+0823155+0292979+0471382+0278877+0395496+0416554+0658110+0917823+0199965+0951563+0025739+1648001+0055961+0098079+0103804+1595676+0131471+1006740+0178494+0220301+1689876+1329724+1452877+0455374+0998988+1470610+0601822+0651188+0680392+2025663+3817574+0880201+0953651","Action+Adventure+Drama+Sci-Fi+Thriller"
"11860","1976","Bruce Lee: Fists of Fury / Chinese Connection","0000045+0583963+0862875+0947935+0048871+0155223+0157780+0157300+0368041+0441547+0398974+0498044+0284608+0498475+0490492+0516344+0947927+0683793+0150807+1824193+0150839+9271382+0482580+0492325+2972895+0000329+3082237+1456528+1691034+0385233+0359171+2063788+1467101+6869976+3247074+4005973+4654455+2364295+0550301+0643693+1226853+0722217+3989715+1269214+0787811+0151137+0591253+0943145+0950707+0477035+0950757+0000045+0583963+0862875+0947935+0048871+0155223+0157780+0157300+0368041+0441547+0398974+0498044+0284608+0498475+0490492+0516344+0947927+0683793+0150807+1824193+0150839+9271382+0482580+0492325+2972895+0000329+3082237+1456528+1691034+0385233+0359171+2063788+1467101+6869976+3247074+4005973+4654455+2364295+0550301+0643693+1226853+0722217+3989715+1269214+0787811+0151137+0591253+0943145+0950707+0477035+0950757","Action+Drama+Romance+Thriller"
"11861","2002","National Geographic: Into the Great Pyramid","1368037+2718223+5508830+1859798+2716213+1635254+1368037+2718223+5508830+1859798+2716213+1635254","Documentary+Action+History"
"11862","2002","The Real World: Exotic Vacations","NaN","NaN"
"11863","1996","D3: The Mighty Ducks","0000389+0635139+0782978+0459706+0005045+0000722+0711805+0919169+0489364+0230596+0378207+0603413+0191044+0650538+0517909+0641948+0860380+0899953+0414789+0939169+0926697+0278057+0782280+0758436+0185361+0186609+0929078+0445722+0365300+0924900+0109359+0109350+0449543+0109335+0446690+0066129+0449546+0761251+4987972+1843648+0235877+0400275+0439386+0650884+0786105+4927627+1993768+0000389+0635139+0782978+0459706+0005045+0000722+0711805+0919169+0489364+0230596+0378207+0603413+0191044+0650538+0517909+0641948+0860380+0899953+0414789+0939169+0926697+0278057+0782280+0758436+0185361+0186609+0929078+0445722+0365300+0924900+0109359+0109350+0449543+0109335+0446690+0066129+0449546+0761251+4987972+1843648+0235877+0400275+0439386+0650884+0786105+4927627+1993768","Action+Comedy+Drama+Family+Sport"
"11864","1993","Gardens of the World with Audrey Hepburn","0000030+0001868+1264249+0000030+0001868+1264249","Documentary"
