"10248","1999","Taxman","0001592+0231546+0000924+0004821+0870186+0001770+3040461+0642567+0018916+0151762+0213446+1648170+0563233+2184962+0713516+0734489+0776100+0797150+0823563+0913370+0050248+1052744+0001592+0231546+0000924+0004821+0870186+0001770+3040461+0642567+0018916+0151762+0213446+1648170+0563233+2184962+0713516+0734489+0776100+0797150+0823563+0913370+0050248+1052744","Action+Comedy+Crime+Thriller"
"10249","1988","Stormy Monday","0000429+0000169+0001776+0000293+0181920+0519091+0506985+0424250+0357604+0385469+0096945+0404321+0928471+0318651+0333926+0398293+0156620+0372298+0193297+0930748+0806144+0500283+0509548+0370343+0556698+0089950+0919861+0166561+0852835+0701544+0525924+0072466+0250136+0396046+0311562+0543280+0824102+0551103+0342805+1443863+0272412+0271499+0559922+0366198+0427214+5031714+0205143+0213012+0668296+2578696+0628492+0000429+0000169+0001776+0000293+0181920+0519091+0506985+0424250+0357604+0385469+0096945+0404321+0928471+0318651+0333926+0398293+0156620+0372298+0193297+0930748+0806144+0500283+0509548+0370343+0556698+0089950+0919861+0166561+0852835+0701544+0525924+0072466+0250136+0396046+0311562+0543280+0824102+0551103+0342805+1443863+0272412+0271499+0559922+0366198+0427214+5031714+0205143+0213012+0668296+2578696+0628492","Crime+Drama+Music+Romance"
"10250","2005","National Geographic: Inside Shock and Awe","0044303+4011264+3794294+0124133+2530628+1837965+4518940+0404010+1081636+0005149+4518415+3773292+1580843+0044303+4011264+3794294+0124133+2530628+1837965+4518940+0404010+1081636+0005149+4518415+3773292+1580843","Documentary+History"
"10251","2005","Samurai 7","0254602+0754526+1234565+1513684+0160049+2057312+6207010+2055400+2477254+0476679+1046347+0657139+1543455+1111054+1115778+1364905+1039515+1035500+1043376+0038324+1514495+1418843+1154161+1708798+1215197+2052069+0416532+2569958+1489841+0831008+1891168+0259074+0566147+0573926+1846338+1132505+1235266+0833185+2005596+0568772+0651682+0999118+1999012+0254602+0754526+1234565+1513684+0160049+2057312+6207010+2055400+2477254+0476679+1046347+0657139+1543455+1111054+1115778+1364905+1039515+1035500+1043376+0038324+1514495+1418843+1154161+1708798+1215197+2052069+0416532+2569958+1489841+0831008+1891168+0259074+0566147+0573926+1846338+1132505+1235266+0833185+2005596+0568772+0651682+0999118+1999012","Animation+Action+Adventure+Sci-Fi"
"10252","1973","Fat Albert and the Cosby Kids: The Original Animated Series: Vol. 2","NaN","NaN"
"10253","1998","The Governess","0000378+0929489+0387524+0001667+0910040+0168287+0083370+0506314+0467985+0583503+0111960+0111060+6406311+0788670+0186168+0722661+0111347+0730466+0371866+0552772+0000378+0929489+0387524+0001667+0910040+0168287+0083370+0506314+0467985+0583503+0111960+0111060+6406311+0788670+0186168+0722661+0111347+0730466+0371866+0552772","Drama+Romance"
"10254","1944","Meet Me in St. Louis","0000023+0639684+0000802+0107082+0000748+0237025+0537685+0003193+0001478+0199822+0140863+0549280+0838420+0932629+0055781+0085999+0185275+0193321+0232808+0254979+0318070+0331048+0336633+0365039+0382718+0402751+0453081+0525159+0593146+1283694+0627873+0628268+0640495+0681030+0712813+0319517+0719631+4251651+4251998+0810342+0864889+0878335+0907969+0933706+0000023+0639684+0000802+0107082+0000748+0237025+0537685+0003193+0001478+0199822+0140863+0549280+0838420+0932629+0055781+0085999+0185275+0193321+0232808+0254979+0318070+0331048+0336633+0365039+0382718+0402751+0453081+0525159+0593146+1283694+0627873+0628268+0640495+0681030+0712813+0319517+0719631+4251651+4251998+0810342+0864889+0878335+0907969+0933706","Comedy+Drama+Family+Musical+Romance"
"10255","1957","An Affair to Remember","0000026+0000039+0219396+0666332+0626350+0507691+0915114+0093769+0010928+0020953+0042100+0047679+0050336+0093245+0103362+0130511+0140924+0141111+0150684+0153367+0179317+0210108+0244030+0250711+0254066+0254929+0256261+0267916+0269537+0305389+0314510+0317064+0356128+0365039+0378105+6154394+0437367+0446993+0455373+0480747+0482474+0478710+0511094+0518242+0521118+0528789+0533101+0544293+6727936+0549313+0558683+0562947+0563608+0580425+0588443+0595395+0601596+0605494+0607545+0607942+0613862+0614816+0633262+0076162+0641114+0682910+0973646+0694259+0706978+0710424+0710941+0724211+0768538+0783003+0799955+0804493+0810989+0811292+0828260+0860789+0863179+0908403+0000026+0000039+0219396+0666332+0626350+0507691+0915114+0093769+0010928+0020953+0042100+0047679+0050336+0093245+0103362+0130511+0140924+0141111+0150684+0153367+0179317+0210108+0244030+0250711+0254066+0254929+0256261+0267916+0269537+0305389+0314510+0317064+0356128+0365039+0378105+6154394+0437367+0446993+0455373+0480747+0482474+0478710+0511094+0518242+0521118+0528789+0533101+0544293+6727936+0549313+0558683+0562947+0563608+0580425+0588443+0595395+0601596+0605494+0607545+0607942+0613862+0614816+0633262+0076162+0641114+0682910+0973646+0694259+0706978+0710424+0710941+0724211+0768538+0783003+0799955+0804493+0810989+0811292+0828260+0860789+0863179+0908403","Drama+Romance"
"10256","1997","The 6th Man","0005541+0362429+0001601+0005230+0242656+0428104+0650578+0191310+0285912+0440265+0817893+0047358+0565619+0843221+0818055+0757214+0877460+0488506+0070115+0684460+0512051+0478319+0550030+0186948+0767713+0949447+0589168+0153610+0766005+0018416+0449831+0172333+0316692+0072944+0832467+0107108+0574081+0899866+0910476+0626513+0860321+0282394+0724712+0850464+0712323+0655477+0102463+0364157+0549264+0647955+0813217+0717818+0915460+0694739+0354581+0406474+0507507+0625283+8067881+0233039+0570462+5686774+2738234+0005541+0362429+0001601+0005230+0242656+0428104+0650578+0191310+0285912+0440265+0817893+0047358+0565619+0843221+0818055+0757214+0877460+0488506+0070115+0684460+0512051+0478319+0550030+0186948+0767713+0949447+0589168+0153610+0766005+0018416+0449831+0172333+0316692+0072944+0832467+0107108+0574081+0899866+0910476+0626513+0860321+0282394+0724712+0850464+0712323+0655477+0102463+0364157+0549264+0647955+0813217+0717818+0915460+0694739+0354581+0406474+0507507+0625283+8067881+0233039+0570462+5686774+2738234","Comedy+Drama+Fantasy+Romance+Sport"
"10257","2002","Prehistoric Planet: The Complete Dino Dynasty","NaN","NaN"
